Subject,Age1,AgeGroup,Gender,GrammarProd,VocabProd,Item,Trial1,Trial1_ChosenFoil,Trial2,Trial2_ChosenFoil
7,43.07,1,2,0.88,0.56,merf,1,target,1,target
7,43.07,1,2,0.88,0.56,pluff,0,known-w-property,0,known-w-property
7,43.07,1,2,0.88,0.56,taf,1,target,1,target
8,49.93,2,2,0.81,0.75,fep,1,target,1,target
8,49.93,2,2,0.81,0.75,gelp,1,target,1,target
8,49.93,2,2,0.81,0.75,merf,1,target,1,target
8,49.93,2,2,0.81,0.75,pluff,1,target,1,target
8,49.93,2,2,0.81,0.75,taf,1,target,0,known-w-property
9,52.27,2,1,0.5,0.63,fep,1,target,1,target
9,52.27,2,1,0.5,0.63,gelp,1,target,1,target
9,52.27,2,1,0.5,0.63,merf,0,known-w-property,0,known-w-property
9,52.27,2,1,0.5,0.63,pluff,1,target,0,known-wo-property
9,52.27,2,1,0.5,0.63,taf,0,known-w-property,0,known-w-property
10,62.5,3,2,0.94,0.88,fep,1,target,1,target
10,62.5,3,2,0.94,0.88,gelp,1,target,1,target
10,62.5,3,2,0.94,0.88,merf,1,target,1,target
10,62.5,3,2,0.94,0.88,pluff,1,target,1,target
10,62.5,3,2,0.94,0.88,taf,1,target,1,target
11,57.63,2,1,0.69,0.81,fep,0,known-w-property,1,target
11,57.63,2,1,0.69,0.81,gelp,1,target,1,target
11,57.63,2,1,0.69,0.81,merf,0,known-w-property,0,known-w-property
11,57.63,2,1,0.69,0.81,pluff,0,novel-wo-property,1,target
11,57.63,2,1,0.69,0.81,taf,0,known-w-property,0,known-w-property
12,60.67,3,1,0.75,0.88,fep,1,target,1,target
12,60.67,3,1,0.75,0.88,gelp,1,target,0,known-wo-property
12,60.67,3,1,0.75,0.88,merf,1,target,1,target
12,60.67,3,1,0.75,0.88,pluff,0,known-w-property,0,known-wo-property
12,60.67,3,1,0.75,0.88,taf,1,target,1,target
13,50.57,2,1,0.81,0.69,fep,0,known-w-property,0,novel-wo-property
13,50.57,2,1,0.81,0.69,gelp,1,target,1,target
13,50.57,2,1,0.81,0.69,merf,1,target,1,target
13,50.57,2,1,0.81,0.69,pluff,1,target,1,target
13,50.57,2,1,0.81,0.69,taf,0,novel-wo-property,0,known-wo-property
14,51.5,2,1,0.75,0.81,fep,1,target,1,target
14,51.5,2,1,0.75,0.81,gelp,1,target,0,novel-wo-property
14,51.5,2,1,0.75,0.81,merf,1,target,1,target
14,51.5,2,1,0.75,0.81,pluff,1,target,1,target
14,51.5,2,1,0.75,0.81,taf,0,known-w-property,1,target
15,55.7,2,2,0.94,0.94,fep,1,target,1,target
15,55.7,2,2,0.94,0.94,gelp,1,target,1,target
15,55.7,2,2,0.94,0.94,merf,1,target,0,known-w-property
15,55.7,2,2,0.94,0.94,pluff,1,target,0,novel-wo-property
15,55.7,2,2,0.94,0.94,taf,0,known-w-property,1,target
16,58.03,2,1,0.44,0.75,fep,1,target,1,target
16,58.03,2,1,0.44,0.75,gelp,1,target,1,target
16,58.03,2,1,0.44,0.75,merf,1,target,1,target
16,58.03,2,1,0.44,0.75,pluff,1,target,0,known-wo-property
16,58.03,2,1,0.44,0.75,taf,1,target,1,target
17,55.77,2,1,0.69,0.75,fep,1,target,1,target
17,55.77,2,1,0.69,0.75,gelp,1,target,1,target
17,55.77,2,1,0.69,0.75,merf,1,target,1,target
17,55.77,2,1,0.69,0.75,pluff,1,target,1,target
17,55.77,2,1,0.69,0.75,taf,1,target,1,target
19,47.7,1,1,0.44,0.69,fep,1,target,1,target
19,47.7,1,1,0.44,0.69,gelp,1,target,1,target
19,47.7,1,1,0.44,0.69,merf,1,target,1,target
19,47.7,1,1,0.44,0.69,pluff,1,target,1,target
19,47.7,1,1,0.44,0.69,taf,1,target,1,target
20,45.4,1,2,0.38,0.75,fep,0,known-w-property,1,target
20,45.4,1,2,0.38,0.75,gelp,0,known-w-property,1,target
20,45.4,1,2,0.38,0.75,merf,1,target,1,target
20,45.4,1,2,0.38,0.75,pluff,0,known-w-property,1,target
20,45.4,1,2,0.38,0.75,taf,0,known-w-property,1,target
21,43.27,1,2,0.69,0.44,fep,0,known-w-property,0,known-wo-property
21,43.27,1,2,0.69,0.44,gelp,0,known-w-property,0,known-wo-property
21,43.27,1,2,0.69,0.44,merf,0,known-w-property,0,known-wo-property
21,43.27,1,2,0.69,0.44,pluff,0,known-w-property,0,known-w-property
21,43.27,1,2,0.69,0.44,taf,1,target,1,target
22,42.77,1,2,0.38,0.81,fep,1,target,1,target
22,42.77,1,2,0.38,0.81,gelp,1,target,1,target
22,42.77,1,2,0.38,0.81,merf,1,target,1,target
22,42.77,1,2,0.38,0.81,pluff,1,target,1,target
22,42.77,1,2,0.38,0.81,taf,1,target,1,target
24,47.4,2,2,0.94,0.81,fep,0,known-w-property,1,target
24,47.4,2,2,0.94,0.81,gelp,1,target,1,target
24,47.4,2,2,0.94,0.81,merf,1,target,1,target
24,47.4,2,2,0.94,0.81,pluff,1,target,1,target
24,47.4,2,2,0.94,0.81,taf,0,novel-wo-property,0,novel-wo-property
26,38.37,1,1,0.56,0.56,fep,1,target,0,novel-wo-property
26,38.37,1,1,0.56,0.56,gelp,0,novel-wo-property,0,novel-wo-property
26,38.37,1,1,0.56,0.56,merf,0,known-w-property,1,target
26,38.37,1,1,0.56,0.56,pluff,1,target,1,target
26,38.37,1,1,0.56,0.56,taf,0,known-w-property,1,target
27,61.43,3,1,0.81,0.88,fep,1,target,1,target
27,61.43,3,1,0.81,0.88,gelp,1,target,1,target
27,61.43,3,1,0.81,0.88,merf,1,target,1,target
27,61.43,3,1,0.81,0.88,pluff,1,target,1,target
27,61.43,3,1,0.81,0.88,taf,1,target,1,target
35,51.03,2,2,0.56,0.31,fep,0,known-w-property,0,known-wo-property
35,51.03,2,2,0.56,0.31,gelp,0,known-w-property,0,known-w-property
35,51.03,2,2,0.56,0.31,merf,1,target,0,known-w-property
35,51.03,2,2,0.56,0.31,pluff,0,known-w-property,0,known-wo-property
35,51.03,2,2,0.56,0.31,taf,1,target,0,known-w-property
36,64.2,3,2,0.81,0.69,fep,0,known-w-property,1,target
36,64.2,3,2,0.81,0.69,gelp,0,known-w-property,0,known-w-property
36,64.2,3,2,0.81,0.69,merf,0,known-w-property,0,known-w-property
36,64.2,3,2,0.81,0.69,pluff,0,known-w-property,0,known-wo-property
36,64.2,3,2,0.81,0.69,taf,0,known-w-property,0,known-w-property
37,52.07,2,2,0.25,0.56,fep,0,known-w-property,0,known-wo-property
37,52.07,2,2,0.25,0.56,gelp,1,target,1,target
37,52.07,2,2,0.25,0.56,merf,1,target,0,novel-wo-property
37,52.07,2,2,0.25,0.56,pluff,0,known-w-property,0,novel-wo-property
37,52.07,2,2,0.25,0.56,taf,1,target,0,novel-wo-property
38,60.6,3,1,0.38,0.44,fep,1,target,1,target
38,60.6,3,1,0.38,0.44,gelp,1,target,1,target
38,60.6,3,1,0.38,0.44,merf,1,target,1,target
38,60.6,3,1,0.38,0.44,pluff,1,target,1,target
38,60.6,3,1,0.38,0.44,taf,1,target,1,target
39,52.87,2,2,0.31,0.31,fep,0,known-w-property,0,known-wo-property
39,52.87,2,2,0.31,0.31,gelp,0,NA,1,target
39,52.87,2,2,0.31,0.31,merf,0,NA,0,NA
39,52.87,2,2,0.31,0.31,pluff,0,known-w-property,0,known-wo-property
39,52.87,2,2,0.31,0.31,taf,0,NA,0,NA
40,53.83,2,2,0.69,0.5,fep,1,target,1,target
40,53.83,2,2,0.69,0.5,gelp,1,target,1,target
40,53.83,2,2,0.69,0.5,merf,1,target,1,target
40,53.83,2,2,0.69,0.5,pluff,1,target,1,target
40,53.83,2,2,0.69,0.5,taf,0,known-w-property,0,known-wo-property
41,53.13,2,1,0.5,0.63,fep,0,known-w-property,1,target
41,53.13,2,1,0.5,0.63,gelp,1,target,0,known-wo-property
41,53.13,2,1,0.5,0.63,merf,0,known-w-property,1,target
41,53.13,2,1,0.5,0.63,pluff,1,target,1,target
41,53.13,2,1,0.5,0.63,taf,0,known-w-property,0,novel-wo-property
42,59.07,2,1,0.38,0.38,fep,1,target,0,known-wo-property
42,59.07,2,1,0.38,0.38,gelp,1,target,0,known-w-property
42,59.07,2,1,0.38,0.38,merf,0,known-w-property,0,novel-wo-property
42,59.07,2,1,0.38,0.38,pluff,0,known-w-property,0,known-wo-property
42,59.07,2,1,0.38,0.38,taf,0,known-w-property,0,novel-wo-property
43,40.73,1,2,0.56,0.38,fep,0,known-w-property,0,known-wo-property
43,40.73,1,2,0.56,0.38,gelp,0,known-w-property,0,known-wo-property
43,40.73,1,2,0.56,0.38,merf,1,target,1,target
43,40.73,1,2,0.56,0.38,pluff,1,target,1,target
43,40.73,1,2,0.56,0.38,taf,0,known-w-property,0,known-wo-property
44,42.53,1,1,0.56,0.38,fep,0,known-w-property,0,known-wo-property
44,42.53,1,1,0.56,0.38,gelp,0,known-w-property,0,known-wo-property
44,42.53,1,1,0.56,0.38,merf,1,target,1,target
44,42.53,1,1,0.56,0.38,pluff,1,target,1,target
44,42.53,1,1,0.56,0.38,taf,0,known-w-property,0,known-wo-property
45,47.57,1,1,0.31,0.63,fep,0,known-w-property,0,novel-wo-property
45,47.57,1,1,0.31,0.63,gelp,0,known-w-property,0,known-wo-property
45,47.57,1,1,0.31,0.63,merf,0,known-w-property,0,known-w-property
45,47.57,1,1,0.31,0.63,pluff,1,target,0,known-w-property
45,47.57,1,1,0.31,0.63,taf,0,known-w-property,1,target
46,47.57,1,1,0.38,0.75,fep,1,target,0,novel-wo-property
46,47.57,1,1,0.38,0.75,gelp,0,known-w-property,1,target
46,47.57,1,1,0.38,0.75,merf,0,known-w-property,0,known-wo-property
46,47.57,1,1,0.38,0.75,pluff,0,known-w-property,0,known-wo-property
46,47.57,1,1,0.38,0.75,taf,0,known-w-property,0,novel-wo-property
47,45.93,1,2,0.56,0.69,fep,1,target,1,target
47,45.93,1,2,0.56,0.69,gelp,1,target,1,target
47,45.93,1,2,0.56,0.69,merf,1,target,1,target
47,45.93,1,2,0.56,0.69,pluff,1,target,1,target
47,45.93,1,2,0.56,0.69,taf,1,target,1,target
48,65.33,3,1,0.56,0.81,fep,1,target,1,target
48,65.33,3,1,0.56,0.81,gelp,1,target,1,target
48,65.33,3,1,0.56,0.81,merf,0,known-w-property,0,known-w-property
48,65.33,3,1,0.56,0.81,pluff,1,target,1,target
48,65.33,3,1,0.56,0.81,taf,1,target,1,target
49,60.83,3,2,0.63,0.94,fep,1,target,0,known-wo-property
49,60.83,3,2,0.63,0.94,gelp,1,target,1,target
49,60.83,3,2,0.63,0.94,merf,0,known-w-property,1,target
49,60.83,3,2,0.63,0.94,pluff,1,target,0,known-wo-property
49,60.83,3,2,0.63,0.94,taf,0,known-w-property,0,novel-wo-property
50,47.3,1,2,0.31,0.38,fep,1,target,1,target
50,47.3,1,2,0.31,0.38,gelp,0,known-w-property,0,known-w-property
50,47.3,1,2,0.31,0.38,merf,1,target,1,target
50,47.3,1,2,0.31,0.38,pluff,0,known-w-property,0,known-w-property
50,47.3,1,2,0.31,0.38,taf,0,known-w-property,1,target
51,47.87,1,2,0.69,0.69,fep,0,known-w-property,1,target
51,47.87,1,2,0.69,0.69,gelp,1,target,0,known-wo-property
51,47.87,1,2,0.69,0.69,merf,1,target,1,target
51,47.87,1,2,0.69,0.69,pluff,0,known-w-property,1,target
51,47.87,1,2,0.69,0.69,taf,1,target,0,known-wo-property
52,48.03,2,1,0.5,0.44,fep,1,target,1,target
52,48.03,2,1,0.5,0.44,gelp,0,known-w-property,1,target
52,48.03,2,1,0.5,0.44,merf,0,known-w-property,0,known-wo-property
52,48.03,2,1,0.5,0.44,pluff,0,known-w-property,0,known-w-property
52,48.03,2,1,0.5,0.44,taf,1,target,0,NA
53,61.47,3,2,0.5,0.75,fep,1,target,1,target
53,61.47,3,2,0.5,0.75,gelp,1,target,1,target
53,61.47,3,2,0.5,0.75,merf,0,known-w-property,0,known-w-property
53,61.47,3,2,0.5,0.75,pluff,0,known-w-property,0,known-wo-property
53,61.47,3,2,0.5,0.75,taf,0,known-w-property,0,known-w-property
54,61.47,3,1,0.56,0.75,fep,1,target,0,known-wo-property
54,61.47,3,1,0.56,0.75,gelp,1,target,1,target
54,61.47,3,1,0.56,0.75,merf,1,target,1,target
54,61.47,3,1,0.56,0.75,pluff,0,known-w-property,0,known-w-property
54,61.47,3,1,0.56,0.75,taf,1,target,1,target
55,54.57,2,2,0.63,0.5,fep,1,target,1,target
55,54.57,2,2,0.63,0.5,gelp,1,target,1,target
55,54.57,2,2,0.63,0.5,merf,1,target,1,target
55,54.57,2,2,0.63,0.5,pluff,1,target,1,target
55,54.57,2,2,0.63,0.5,taf,1,target,1,target
56,51.83,2,1,0.75,0.75,fep,1,target,1,target
56,51.83,2,1,0.75,0.75,gelp,0,known-w-property,1,target
56,51.83,2,1,0.75,0.75,merf,1,target,1,target
56,51.83,2,1,0.75,0.75,pluff,1,target,0,novel-wo-property
56,51.83,2,1,0.75,0.75,taf,0,known-w-property,1,target
57,61.47,3,2,0.75,0.94,fep,1,target,1,target
57,61.47,3,2,0.75,0.94,gelp,1,target,1,target
57,61.47,3,2,0.75,0.94,merf,1,target,1,target
57,61.47,3,2,0.75,0.94,pluff,1,target,1,target
57,61.47,3,2,0.75,0.94,taf,1,target,1,target
58,50.77,2,2,0.94,1,fep,1,target,1,target
58,50.77,2,2,0.94,1,gelp,1,target,1,target
58,50.77,2,2,0.94,1,merf,1,target,1,target
58,50.77,2,2,0.94,1,pluff,0,known-w-property,1,target
58,50.77,2,2,0.94,1,taf,1,target,0,known-wo-property
59,47.63,1,1,0.44,0.69,fep,1,target,1,target
59,47.63,1,1,0.44,0.69,gelp,1,target,1,target
59,47.63,1,1,0.44,0.69,merf,1,target,1,target
59,47.63,1,1,0.44,0.69,pluff,0,known-w-property,1,target
59,47.63,1,1,0.44,0.69,taf,0,novel-wo-property,0,known-wo-property
60,53.37,2,1,0.5,0.81,fep,1,target,1,target
60,53.37,2,1,0.5,0.81,gelp,0,known-w-property,1,target
60,53.37,2,1,0.5,0.81,merf,1,target,1,target
60,53.37,2,1,0.5,0.81,pluff,1,target,1,target
60,53.37,2,1,0.5,0.81,taf,1,target,1,target
61,60.67,3,2,0.88,0.94,fep,1,target,1,target
61,60.67,3,2,0.88,0.94,gelp,1,target,1,target
61,60.67,3,2,0.88,0.94,merf,1,target,0,novel-wo-property
61,60.67,3,2,0.88,0.94,pluff,1,target,1,target
61,60.67,3,2,0.88,0.94,taf,0,novel-wo-property,0,novel-wo-property
62,52.23,2,2,0.88,0.88,fep,1,target,1,target
62,52.23,2,2,0.88,0.88,gelp,1,target,1,target
62,52.23,2,2,0.88,0.88,merf,0,known-w-property,0,known-w-property
62,52.23,2,2,0.88,0.88,pluff,0,known-w-property,1,target
62,52.23,2,2,0.88,0.88,taf,1,target,1,target
63,48.7,2,2,0.81,0.81,fep,1,target,1,target
63,48.7,2,2,0.81,0.81,gelp,1,target,1,target
63,48.7,2,2,0.81,0.81,merf,1,target,1,target
63,48.7,2,2,0.81,0.81,pluff,1,target,1,target
63,48.7,2,2,0.81,0.81,taf,0,known-w-property,0,known-w-property
64,66.03,1,2,0.88,0.94,fep,1,target,1,target
64,66.03,1,2,0.88,0.94,gelp,1,target,1,target
64,66.03,1,2,0.88,0.94,merf,1,target,1,target
64,66.03,1,2,0.88,0.94,pluff,1,target,1,target
64,66.03,1,2,0.88,0.94,taf,1,target,0,known-wo-property
65,57.4,2,1,1,0.94,fep,1,target,1,target
65,57.4,2,1,1,0.94,gelp,1,target,1,target
65,57.4,2,1,1,0.94,merf,1,target,1,target
65,57.4,2,1,1,0.94,pluff,0,known-w-property,1,target
65,57.4,2,1,1,0.94,taf,1,target,1,target
67,51.6,2,1,0.94,0.75,fep,1,target,1,target
67,51.6,2,1,0.94,0.75,gelp,1,target,1,target
67,51.6,2,1,0.94,0.75,merf,1,target,1,target
67,51.6,2,1,0.94,0.75,pluff,1,target,1,target
67,51.6,2,1,0.94,0.75,taf,0,novel-wo-property,0,novel-wo-property
68,53.53,2,1,0.63,0.75,fep,1,target,1,target
68,53.53,2,1,0.63,0.75,gelp,1,target,0,novel-wo-property
68,53.53,2,1,0.63,0.75,merf,1,target,1,target
68,53.53,2,1,0.63,0.75,pluff,1,target,1,target
68,53.53,2,1,0.63,0.75,taf,1,target,1,target
70,57.33,2,2,1,1,fep,1,target,1,target
70,57.33,2,2,1,1,gelp,1,target,1,target
70,57.33,2,2,1,1,merf,1,target,1,target
70,57.33,2,2,1,1,pluff,1,target,1,target
70,57.33,2,2,1,1,taf,1,target,1,target
71,54.33,2,2,0.56,0.75,fep,1,target,0,known-wo-property
71,54.33,2,2,0.56,0.75,gelp,1,target,0,known-wo-property
71,54.33,2,2,0.56,0.75,merf,1,target,0,known-wo-property
71,54.33,2,2,0.56,0.75,pluff,1,target,0,known-wo-property
71,54.33,2,2,0.56,0.75,taf,1,target,1,target
72,68,3,2,0.81,0.81,fep,1,target,1,target
72,68,3,2,0.81,0.81,gelp,1,target,1,target
72,68,3,2,0.81,0.81,merf,1,target,1,target
72,68,3,2,0.81,0.81,pluff,1,target,1,target
72,68,3,2,0.81,0.81,taf,1,target,1,target
73,51.57,2,1,0.5,0.38,fep,0,novel-wo-property,0,known-w-property
73,51.57,2,1,0.5,0.38,gelp,0,known-w-property,0,known-wo-property
73,51.57,2,1,0.5,0.38,merf,1,target,1,target
73,51.57,2,1,0.5,0.38,pluff,0,known-w-property,0,known-wo-property
73,51.57,2,1,0.5,0.38,taf,1,target,1,target
75,61.53,3,2,0.44,0.63,fep,0,known-w-property,1,target
75,61.53,3,2,0.44,0.63,gelp,1,target,1,target
75,61.53,3,2,0.44,0.63,merf,1,target,1,target
75,61.53,3,2,0.44,0.63,pluff,0,known-w-property,0,known-w-property
75,61.53,3,2,0.44,0.63,taf,1,target,1,target
76,58.8,2,1,0.75,0.75,fep,1,target,1,target
76,58.8,2,1,0.75,0.75,gelp,1,target,1,target
76,58.8,2,1,0.75,0.75,merf,1,target,1,target
76,58.8,2,1,0.75,0.75,pluff,0,known-w-property,0,novel-wo-property
76,58.8,2,1,0.75,0.75,taf,1,target,1,target
77,54.8,2,2,0.63,0.81,fep,0,known-w-property,0,known-wo-property
77,54.8,2,2,0.63,0.81,gelp,0,known-w-property,1,target
77,54.8,2,2,0.63,0.81,merf,1,target,0,novel-wo-property
77,54.8,2,2,0.63,0.81,pluff,1,target,0,known-wo-property
77,54.8,2,2,0.63,0.81,taf,1,target,0,known-wo-property
78,49.8,2,2,0.44,0.38,fep,0,known-w-property,0,novel-wo-property
78,49.8,2,2,0.44,0.38,gelp,1,target,1,target
78,49.8,2,2,0.44,0.38,merf,1,target,1,target
78,49.8,2,2,0.44,0.38,pluff,1,target,1,target
78,49.8,2,2,0.44,0.38,taf,0,known-w-property,0,known-wo-property
79,46,1,2,0.25,0.44,fep,0,known-w-property,0,known-w-property
79,46,1,2,0.25,0.44,gelp,1,target,0,known-w-property
79,46,1,2,0.25,0.44,merf,1,target,0,known-wo-property
79,46,1,2,0.25,0.44,pluff,0,known-w-property,0,known-wo-property
79,46,1,2,0.25,0.44,taf,0,known-w-property,0,known-w-property
201,38.53333333,1,2,0.56,0.5,fep,1,target,1,target
201,38.53333333,1,2,0.56,0.5,gelp,0,known-w-property,0,known-wo-property
201,38.53333333,1,2,0.56,0.5,merf,0,novel-wo-property,1,target
201,38.53333333,1,2,0.56,0.5,pluff,0,novel-wo-property,1,target
201,38.53333333,1,2,0.56,0.5,taf,0,novel-wo-property,0,known-w-property
202,39.96666667,1,2,0.38,0.69,fep,1,target,1,target
202,39.96666667,1,2,0.38,0.69,gelp,0,known-w-property,1,target
202,39.96666667,1,2,0.38,0.69,merf,1,target,1,target
202,39.96666667,1,2,0.38,0.69,pluff,0,novel-wo-property,1,target
202,39.96666667,1,2,0.38,0.69,taf,0,known-w-property,0,known-w-property
203,57.46666667,2,2,0.88,0.81,fep,1,target,1,target
203,57.46666667,2,2,0.88,0.81,gelp,1,target,1,target
203,57.46666667,2,2,0.88,0.81,merf,1,target,1,target
203,57.46666667,2,2,0.88,0.81,pluff,0,known-w-property,0,known-wo-property
203,57.46666667,2,2,0.88,0.81,taf,1,target,1,target
204,60.23333333,3,1,1,0.88,fep,1,target,1,target
204,60.23333333,3,1,1,0.88,gelp,1,target,1,target
204,60.23333333,3,1,1,0.88,merf,1,target,1,target
204,60.23333333,3,1,1,0.88,pluff,0,known-w-property,1,target
204,60.23333333,3,1,1,0.88,taf,0,known-w-property,1,target
205,59.66666667,3,1,0.81,0.5,fep,0,known-w-property,0,known-wo-property
205,59.66666667,3,1,0.81,0.5,gelp,1,target,0,known-wo-property
205,59.66666667,3,1,0.81,0.5,merf,1,target,0,known-w-property
205,59.66666667,3,1,0.81,0.5,pluff,0,novel-wo-property,1,target
205,59.66666667,3,1,0.81,0.5,taf,0,known-w-property,0,known-wo-property
206,46.93333333,1,2,0.38,0.38,fep,0,known-w-property,0,known-w-property
206,46.93333333,1,2,0.38,0.38,gelp,0,known-w-property,0,known-wo-property
206,46.93333333,1,2,0.38,0.38,merf,1,target,1,target
206,46.93333333,1,2,0.38,0.38,pluff,0,known-w-property,0,novel-wo-property
206,46.93333333,1,2,0.38,0.38,taf,0,known-w-property,1,target
207,42.5,1,2,0.38,0.13,fep,0,known-w-property,0,known-wo-property
207,42.5,1,2,0.38,0.13,gelp,0,known-w-property,0,known-w-property
207,42.5,1,2,0.38,0.13,merf,0,known-w-property,0,known-wo-property
207,42.5,1,2,0.38,0.13,pluff,0,known-w-property,0,known-w-property
207,42.5,1,2,0.38,0.13,taf,0,known-w-property,1,target
208,47.8,1,2,0.31,0.31,fep,0,known-w-property,0,known-wo-property
208,47.8,1,2,0.31,0.31,gelp,0,known-w-property,0,known-wo-property
208,47.8,1,2,0.31,0.31,merf,0,known-w-property,1,target
208,47.8,1,2,0.31,0.31,pluff,0,novel-wo-property,0,known-wo-property
208,47.8,1,2,0.31,0.31,taf,0,known-w-property,0,known-w-property
209,46.83333333,1,2,0.19,0.31,fep,0,known-w-property,1,target
209,46.83333333,1,2,0.19,0.31,gelp,0,known-w-property,0,novel-wo-property
209,46.83333333,1,2,0.19,0.31,merf,1,target,0,known-wo-property
209,46.83333333,1,2,0.19,0.31,pluff,1,target,0,novel-wo-property
209,46.83333333,1,2,0.19,0.31,taf,0,known-w-property,0,novel-wo-property
210,46.33333333,1,1,0.19,0.5,fep,0,known-w-property,0,novel-wo-property
210,46.33333333,1,1,0.19,0.5,gelp,0,known-w-property,0,known-w-property
210,46.33333333,1,1,0.19,0.5,merf,0,known-w-property,0,known-wo-property
210,46.33333333,1,1,0.19,0.5,pluff,0,known-w-property,0,known-w-property
210,46.33333333,1,1,0.19,0.5,taf,0,known-w-property,1,target
211,45.3,1,2,0.31,0.25,fep,0,known-w-property,1,target
211,45.3,1,2,0.31,0.25,gelp,0,known-w-property,0,known-wo-property
211,45.3,1,2,0.31,0.25,merf,1,target,1,target
211,45.3,1,2,0.31,0.25,pluff,1,target,1,target
211,45.3,1,2,0.31,0.25,taf,0,known-w-property,1,target
212,44.73333333,1,1,0.31,0.38,fep,1,target,0,novel-wo-property
212,44.73333333,1,1,0.31,0.38,gelp,0,novel-wo-property,0,known-w-property
212,44.73333333,1,1,0.31,0.38,merf,0,known-w-property,0,known-w-property
212,44.73333333,1,1,0.31,0.38,pluff,0,known-w-property,0,known-w-property
212,44.73333333,1,1,0.31,0.38,taf,0,known-w-property,0,known-w-property
213,45.3,1,2,0.19,0.13,fep,0,known-w-property,0,known-wo-property
213,45.3,1,2,0.19,0.13,gelp,0,known-w-property,0,known-w-property
213,45.3,1,2,0.19,0.13,merf,0,known-w-property,0,known-w-property
213,45.3,1,2,0.19,0.13,pluff,1,target,0,known-w-property
213,45.3,1,2,0.19,0.13,taf,0,known-w-property,1,target
214,41.33333333,1,1,0.13,0.25,fep,1,target,1,target
214,41.33333333,1,1,0.13,0.25,gelp,1,target,0,known-w-property
214,41.33333333,1,1,0.13,0.25,merf,0,known-w-property,0,known-w-property
214,41.33333333,1,1,0.13,0.25,pluff,0,known-w-property,0,novel-wo-property
214,41.33333333,1,1,0.13,0.25,taf,1,target,0,novel-wo-property
215,39.4,1,2,0.19,0.56,fep,1,target,1,target
215,39.4,1,2,0.19,0.56,gelp,1,target,1,target
215,39.4,1,2,0.19,0.56,merf,0,novel-wo-property,0,known-wo-property
215,39.4,1,2,0.19,0.56,pluff,0,known-w-property,1,target
215,39.4,1,2,0.19,0.56,taf,0,known-w-property,0,known-w-property
216,43.53333333,1,2,0.19,0.44,fep,1,target,1,target
216,43.53333333,1,2,0.19,0.44,gelp,0,known-w-property,1,target
216,43.53333333,1,2,0.19,0.44,merf,0,known-w-property,0,known-w-property
216,43.53333333,1,2,0.19,0.44,pluff,0,known-w-property,0,known-wo-property
216,43.53333333,1,2,0.19,0.44,taf,0,known-w-property,0,known-w-property
217,40.1,1,1,0.19,0.13,fep,0,known-w-property,0,known-w-property
217,40.1,1,1,0.19,0.13,gelp,0,known-w-property,0,known-w-property
217,40.1,1,1,0.19,0.13,merf,1,target,0,known-w-property
217,40.1,1,1,0.19,0.13,pluff,1,target,0,known-w-property
217,40.1,1,1,0.19,0.13,taf,0,known-w-property,1,target
218,61.33333333,3,2,0.75,0.94,fep,1,target,1,target
218,61.33333333,3,2,0.75,0.94,gelp,1,target,1,target
218,61.33333333,3,2,0.75,0.94,merf,1,target,1,target
218,61.33333333,3,2,0.75,0.94,pluff,1,target,1,target
218,61.33333333,3,2,0.75,0.94,taf,0,known-w-property,0,known-w-property
219,39.16666667,1,2,0.19,0.31,fep,0,known-w-property,1,target
